search_term,youtube_video_id,youtube_video_title,youtube_video_views,youtube_video_channel,video_url
anti-fascist,HivGdRBG0XU,"Mark Bray, &quot;Antifa: The Anti-Fascist Handbook&quot;",18914,Politics and Prose,www.youtube.com/watch/?v=HivGdRBG0XU
anti-fascist,9WZgFUezQWk,Far-right and anti-fascist groups hold protests in Dover,6337,Guardian News,www.youtube.com/watch/?v=9WZgFUezQWk
anti-fascist,c44A3bF0f-M,Dresden anti-fascist protesters block neo-Nazi march,17604,euronews (in English),www.youtube.com/watch/?v=c44A3bF0f-M
anti-fascist,2TOrA3Mllh4,Arrests after right-wing and anti-fascist protesters clash,10978,Channel 4 News,www.youtube.com/watch/?v=2TOrA3Mllh4
anti-fascist,NaVCb0cQfh8,Discussing &quot;Antifa: the Antifascist Handbook&quot;,133678,Philosophy Tube,www.youtube.com/watch/?v=NaVCb0cQfh8
anti-fascist,uyN-rW0OHk8,Anti-fascism protesters march through streets of Los Angeles,7253,FOX 11 Los Angeles,www.youtube.com/watch/?v=uyN-rW0OHk8
anti-fascist,0oOk14PZOv0,Anti-fascist protests in Portugal as European far-right groups attend a conference,5131,euronews (in English),www.youtube.com/watch/?v=0oOk14PZOv0
anti-fascist,kmpqnxpYUqA,Antifa: The Anti-Fascist Antagonists of the Alt-Right: The Daily Show,2542383,The Daily Show with Trevor Noah,www.youtube.com/watch/?v=kmpqnxpYUqA
anti-fascist,0PAer_NlpV4,Russia - Anti-Fascists Youth Demo / Rus.Nat.Union,2239,AP Archive,www.youtube.com/watch/?v=0PAer_NlpV4
anti-fascist,kszxMzEjriY,Italy: Mass anti-fascist rally takes Venice by storm,2616,Ruptly,www.youtube.com/watch/?v=kszxMzEjriY
anti-fascist,dNM6JzJ-Kt4,"Around 10,000 turn out in Hamburg for anti-fascist rally",895,euronews (in English),www.youtube.com/watch/?v=dNM6JzJ-Kt4
anti-fascist,GgKg2dwlLHo,Clashes between protesters and police at anti-fascist demo,108,AP Archive,www.youtube.com/watch/?v=GgKg2dwlLHo
anti-fascist,IxqptHndtj0,Anti-fascists arrested in London at protest against far-right,5653,euronews (in English),www.youtube.com/watch/?v=IxqptHndtj0
anti-fascist,FBhev5OXiJA,UK: Anti-fascist demo upsets Pro-Brexit march in Liverpool,6286,Ruptly,www.youtube.com/watch/?v=FBhev5OXiJA
anti-fascist,Z7kaMgtxq9Q,USA: Anti-fascist groups march to oppose neo-Confederate rally in Georgia,3266,Ruptly,www.youtube.com/watch/?v=Z7kaMgtxq9Q
anti-fascist,vV79j2LrNfg,Italy: &#39;Make Italy anti-fascist again&#39; – Thousands rally against fascism in Rome,1191,Ruptly,www.youtube.com/watch/?v=vV79j2LrNfg
anti-fascist,b9ruNqC1y8c,Swedish neo-Nazis clash with anti-fascists,43684,euronews (in English),www.youtube.com/watch/?v=b9ruNqC1y8c
anti-fascist,q-pk4XmOWyM,Why are people circulating this old anti-facism film?,47726,Washington Post,www.youtube.com/watch/?v=q-pk4XmOWyM
anti-black,RoJPO1PsRnw,Living In Colour: The history of anti-Black racism in Canada,8055,Global News,www.youtube.com/watch/?v=RoJPO1PsRnw
anti-black,GJdji7V38Bg,The Fight to End Anti-Black Racism,3332,The Agenda with Steve Paikin,www.youtube.com/watch/?v=GJdji7V38Bg
